"","loc","lon","lat","price","rev"
"1","Bayview",-122.390385326359,37.7291276963598,43.5054181929182,457.197720797721
"2","Bernal Heights",-122.416147691647,37.741822464457,57.3139721008714,991.790007627765
"3","Castro/Upper Market",-122.434551210518,37.7625410707557,72.3086194811524,1201.53823099415
"4","Chinatown",-122.40671018463,37.7919028166699,72.0541958041958,953.931934731935
"5","Crocker Amazon",-122.439328365208,37.7104073168527,40.3303571428571,263.433333333333
"6","Diamond Heights",-122.441383045679,37.7430384619125,60.9824263038549,951.1
"7","Downtown/Civic Center",-122.41390947532,37.7855848697987,63.179204424307,825.466293532338
"8","Excelsior",-122.423852175094,37.7253740671063,42.5062598549354,571.496688741722
"9","Financial District",-122.400444767129,37.7903468590931,67.5226902726903,808.107122507122
"10","Glen Park",-122.431507661664,37.7377427537088,62.2812202380952,1146.76041666667
"11","Golden Gate Park",-122.479500125421,37.7687303125376,57.6453125,996.420833333333
"12","Haight Ashbury",-122.446031340592,37.769982157615,68.757522473275,1060.73154761905
"13","Inner Richmond",-122.46380557964,37.7790979352084,60.1972838232766,1117.22190132371
"14","Inner Sunset",-122.465864895423,37.7605917283093,56.7468796214138,1021.95362318841
"15","Lakeshore",-122.481717940547,37.7200783325931,47.4456115779645,784.66339869281
"16","Marina",-122.434463027325,37.800775998107,82.6179012345679,1243.32158365262
"17","Mission",-122.417072492538,37.7583762385226,65.8668441660369,975.278237470568
"18","Nob Hill",-122.415781497118,37.793008003953,74.3093472952169,1093.20568561873
"19","Noe Valley",-122.43203497631,37.7497890584445,69.6930848121197,1078.70312779267
"20","North Beach",-122.408361516263,37.8018995393597,67.7475451049985,981.33768115942
"21","Ocean View",-122.461069141609,37.7175534962143,44.3958774250441,502.720987654321
"22","Outer Mission",-122.441327489376,37.7276098447633,50.8716408856536,717.063057324841
"23","Outer Richmond",-122.492319187826,37.7772903430577,50.3873281130634,836.883065953654
"24","Outer Sunset",-122.495088581555,37.7564182209564,50.0820622015744,692.598780487805
"25","Pacific Heights",-122.433865765872,37.7922840688101,79.1875343406593,1276.16955128205
"26","Parkside",-122.487006699233,37.742056937463,47.6171668667467,746.53137254902
"27","Potrero Hill",-122.397619153253,37.7589742818719,70.1149185305435,1103.63131313131
"28","Presidio",-122.460532238571,37.8000538022408,86.4583333333333,1483.70833333333
"29","Presidio Heights",-122.454400202253,37.784721657515,72.3848039215686,1156.7431372549
"30","Russian Hill",-122.418427242538,37.8012428825115,77.9766100363757,1262.92395833333
"31","Seacliff",-122.497127371754,37.783042298961,64.0189393939394,1140.68181818182
"32","South of Market",-122.403590389033,37.7781718252358,69.5644913419913,924.204060606061
"33","Treasure Island/YBI",-122.373991674384,37.8236673047513,50.3066666666667,341.936
"34","Twin Peaks",-122.447200053076,37.7536889849383,69.2610269360269,982.750505050505
"35","Visitacion Valley",-122.406998495129,37.7161400000812,40.8248456790123,520.385185185185
"36","West of Twin Peaks",-122.458983495464,37.735562614846,55.2831514550265,751.695
"37","Western Addition",-122.433734600786,37.7782845931253,68.9643850586131,1096.74325452017
